Fecha;Hora;Clase de Vuelo;Clasificación Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Aterrizaje;SADF;SADF;N/A                           ;ROBINSON Helicó
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Internacional;Despegue  ;SADF;SUAA;N/A                           ;CIRRUS SR22    
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAZM;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;KATL;SAEZ;Delta Air Lines               ;BOEING B-767   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SAAR;AR-0;N/A                           ;PIPER PA-28    
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAME;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SANT;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SASA;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAZS;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Internacional;Despegue  ;SAEZ;KMIA;Aerolíneas Argentinas         ;AIRBUS A-330   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAWH;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAZB;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Internacional;Despegue  ;SADF;SULS;N/A                           ;CESSNA Citation
3/1/2020;9;Regular                             ;Internacional;Despegue  ;SAEZ;SCEL;KLM                           ;BOEING B-787   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAZS;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;EGLL;SAEZ;British Airways               ;BOEING B-777   
3/1/2020;9;No Regular                          ;Cabotaje     ;Despegue  ;SADF;SAAR;N/A                           ;N/A N/A        
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SANT;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SARC;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;No Regular                          ;Cabotaje     ;Despegue  ;SACO;SABE;N/A                           ;LEARJET LJ-35  
3/1/2020;9;No Regular                          ;Cabotaje     ;Despegue  ;SADF;SADM;N/A                           ;LEARJET LJ-25  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SACO;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SADP;SAZS;Flybondi                      ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAMR;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAWG;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Internacional;Despegue  ;SADF;SULS;N/A                           ;LEARJET LJ-60  
3/1/2020;9;Regular                             ;Internacional;Despegue  ;SADP;SCEL;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;9;No Regular                          ;Cabotaje     ;Despegue  ;SARF;SABE;N/A                           ;LEARJET LJ-60  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAEZ;SAZM;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SACO;SAEZ;Aerolíneas Argentinas         ;BOEING B-737   
